Id;Topic;Min Type;Min Value;Max Type;Max Value;Type;Unit;Current Type;Current Value;Column1
LOWERING_MODE;device/status/MEQ0863092/2/LOWERING_MODE;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
MANU_MODE;device/status/MEQ0863092/2/MANU_MODE;Number;45050;Number;45076;FLOAT;°C;Number;0;
PARTY_MODE_SUBMIT;device/status/MEQ0863092/2/PARTY_MODE_SUBMIT;String;;String;;STRING;;String;;
PARTY_START_DAY;device/status/MEQ0863092/2/PARTY_START_DAY;Number;1;Number;31;INTEGER;day;Number;1;
PARTY_START_MONTH;device/status/MEQ0863092/2/PARTY_START_MONTH;Number;1;Number;12;INTEGER;month;Number;1;
PARTY_START_TIME;device/status/MEQ0863092/2/PARTY_START_TIME;Number;0;Number;1410;INTEGER;minutes;Number;0;
PARTY_START_YEAR;device/status/MEQ0863092/2/PARTY_START_YEAR;Number;0;Number;99;INTEGER;year;Number;0;
PARTY_STOP_DAY;device/status/MEQ0863092/2/PARTY_STOP_DAY;Number;1;Number;31;INTEGER;day;Number;1;
PARTY_STOP_MONTH;device/status/MEQ0863092/2/PARTY_STOP_MONTH;Number;1;Number;12;INTEGER;month;Number;1;
PARTY_STOP_TIME;device/status/MEQ0863092/2/PARTY_STOP_TIME;Number;0;Number;1410;INTEGER;minutes;Number;0;
PARTY_STOP_YEAR;device/status/MEQ0863092/2/PARTY_STOP_YEAR;Number;0;Number;99;INTEGER;year;Number;0;
PARTY_TEMPERATURE;device/status/MEQ0863092/2/PARTY_TEMPERATURE;Number;5;Number;30;FLOAT;°C;Number;5;
SET_TEMPERATURE;device/status/MEQ0863092/2/SET_TEMPERATURE;Number;45050;Number;45076;FLOAT;°C;Number;23;
WINDOW_OPEN_REPORTING;device/status/MEQ0863092/2/WINDOW_OPEN_REPORTING;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
DECISION_VALUE;device/status/MEQ0863092/7/DECISION_VALUE;Number;0;Number;255;INTEGER;;Number;0;
AES_KEY;device/status/MEQ1004902/0/AES_KEY;Number;0;Number;127;INTEGER;;Number;0;
CONFIG_PENDING;device/status/MEQ1004902/0/CONFIG_PENDING;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
DUTYCYCLE;device/status/MEQ1004902/0/DUTYCYCLE;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
LOWBAT;device/status/MEQ1004902/0/LOWBAT;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
RSSI_DEVICE;device/status/MEQ1004902/0/RSSI_DEVICE;Number;-2147483648;Number;2147483647;INTEGER;;Number;1;
RSSI_PEER;device/status/MEQ1004902/0/RSSI_PEER;Number;-2147483648;Number;2147483647;INTEGER;;Number;189;
STICKY_UNREACH;device/status/MEQ1004902/0/STICKY_UNREACH;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
UNREACH;device/status/MEQ1004902/0/UNREACH;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
INHIBIT;device/status/MEQ1004902/1/INHIBIT;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
INSTALL_TEST;device/status/MEQ1004902/1/INSTALL_TEST;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
ON_TIME;device/status/MEQ1004902/1/ON_TIME;Number;0;Number;85825945.6;FLOAT;s;Number;0;
STATE;device/status/MEQ1004902/1/STATE;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
WORKING;device/status/MEQ1004902/1/WORKING;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
INHIBIT;device/status/MEQ1004902/2/INHIBIT;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
INSTALL_TEST;device/status/MEQ1004902/2/INSTALL_TEST;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
ON_TIME;device/status/MEQ1004902/2/ON_TIME;Number;0;Number;85825945.6;FLOAT;s;Number;0;
STATE;device/status/MEQ1004902/2/STATE;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
WORKING;device/status/MEQ1004902/2/WORKING;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
INHIBIT;device/status/MEQ1004902/3/INHIBIT;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
INSTALL_TEST;device/status/MEQ1004902/3/INSTALL_TEST;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
ON_TIME;device/status/MEQ1004902/3/ON_TIME;Number;0;Number;85825945.6;FLOAT;s;Number;0;
STATE;device/status/MEQ1004902/3/STATE;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
WORKING;device/status/MEQ1004902/3/WORKING;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
INHIBIT;device/status/MEQ1004902/4/INHIBIT;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
INSTALL_TEST;device/status/MEQ1004902/4/INSTALL_TEST;FALSE;FALSE;TRUE;TRUE;ACTION;;FALSE;FALSE;
ON_TIME;device/status/MEQ1004902/4/ON_TIME;Number;0;Number;85825945.6;FLOAT;s;Number;0;
STATE;device/status/MEQ1004902/4/STATE;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
WORKING;device/status/MEQ1004902/4/WORKING;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
AES_KEY;device/status/MEQ1004981/0/AES_KEY;Number;0;Number;127;INTEGER;;Number;0;
CONFIG_PENDING;device/status/MEQ1004981/0/CONFIG_PENDING;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
DUTYCYCLE;device/status/MEQ1004981/0/DUTYCYCLE;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
LOWBAT;device/status/MEQ1004981/0/LOWBAT;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
RSSI_DEVICE;device/status/MEQ1004981/0/RSSI_DEVICE;Number;-2147483648;Number;2147483647;INTEGER;;Number;192;
RSSI_PEER;device/status/MEQ1004981/0/RSSI_PEER;Number;-2147483648;Number;2147483647;INTEGER;;Number;66;
STICKY_UNREACH;device/status/MEQ1004981/0/STICKY_UNREACH;FALSE;FALSE;TRUE;TRUE;BOOL;;TRUE;TRUE;
UNREACH;device/status/MEQ1004981/0/UNREACH;FALSE;FALSE;TRUE;TRUE;BOOL;;FALSE;FALSE;
